Accession ID,Cluster,Sequence Length,NCBI ID,Protein Name,Taxonomy ID,Scientific Name,Kingdom
CAA2962618,Rpp25,294,emb|CAA2962618.1|,FAM98A-like isoform X1 [Olea europaea subsp. europaea],158383,Olea europaea subsp. europaea,Eukaryota
XP_043487815,Rpp25,210,ref|XP_043487815.1|,ribonuclease P protein subunit p25-like protein isoform X1 [Polistes fuscatus],30207,Polistes fuscatus,Eukaryota
XP_014605055,Rpp25,210,ref|XP_014605055.1|,PREDICTED: ribonuclease P protein subunit p25-like protein [Polistes canadensis],91411,Polistes canadensis,Eukaryota
XP_043479020,Rpp25,205,ref|XP_043479020.1|,uncharacterized protein LOC122509218 [Leptopilina heterotoma],63436,Leptopilina heterotoma,Eukaryota
XP_043487822,Rpp25,162,ref|XP_043487822.1|,uncharacterized protein LOC122514817 isoform X2 [Polistes fuscatus],30207,Polistes fuscatus,Eukaryota
KAH0435175,Rpp25,440,gb|KAH0435175.1|,hypothetical protein IEQ34_026678 [Dendrobium chrysotoxum],161865,Dendrobium chrysotoxum,Eukaryota
KAH0450503,Rpp25,302,gb|KAH0450503.1|,hypothetical protein IEQ34_021195 [Dendrobium chrysotoxum],161865,Dendrobium chrysotoxum,Eukaryota
KAH0465578,Rpp25,258,gb|KAH0465578.1|,hypothetical protein IEQ34_005681 [Dendrobium chrysotoxum],161865,Dendrobium chrysotoxum,Eukaryota
XP_020692527,Rpp25,259,ref|XP_020692527.1|,"keratin, type I cytoskeletal 9 [Dendrobium catenatum]",906689,Dendrobium catenatum,Eukaryota
CAD7702863,Rpp25,154,emb|CAD7702863.1|,unnamed protein product [Ostreobium quekettii],121088,Ostreobium quekettii,Eukaryota
KAH0469957,Rpp25,315,gb|KAH0469957.1|,hypothetical protein IEQ34_001515 [Dendrobium chrysotoxum],161865,Dendrobium chrysotoxum,Eukaryota
CAD7704024,Rpp25,242,emb|CAD7704024.1|,unnamed protein product [Ostreobium quekettii],121088,Ostreobium quekettii,Eukaryota
CAD7698776,Rpp25,219,emb|CAD7698776.1|,unnamed protein product [Ostreobium quekettii],121088,Ostreobium quekettii,Eukaryota
KAH0451880,Rpp25,258,gb|KAH0451880.1|,hypothetical protein IEQ34_019179 [Dendrobium chrysotoxum],161865,Dendrobium chrysotoxum,Eukaryota
CAD7704453,Rpp25,212,emb|CAD7704453.1|,unnamed protein product [Ostreobium quekettii],121088,Ostreobium quekettii,Eukaryota
CAD7704340,Rpp25,241,emb|CAD7704340.1|,unnamed protein product [Ostreobium quekettii],121088,Ostreobium quekettii,Eukaryota
CAA2975343,Rpp25,167,emb|CAA2975343.1|,ribonuclease P subunit p25 [Olea europaea subsp. europaea],158383,Olea europaea subsp. europaea,Eukaryota
CAC9673515,Rpp25,290,emb|CAC9673515.1|,Ofus.G23356 [Owenia fusiformis],6347,Owenia fusiformis,Eukaryota
KAH0488078,Rpp25,224,gb|KAH0488078.1|,hypothetical protein KVP18_000929 [Porospora cf. gigantea A],2853593,Porospora cf. gigantea A,Eukaryota
KAH0473772,Rpp25,224,gb|KAH0473772.1|,hypothetical protein KVP17_003717 [Porospora cf. gigantea B],2853592,Porospora cf. gigantea B,Eukaryota
XP_043524785,Rpp25,249,ref|XP_043524785.1|,uncharacterized protein LOC122536465 isoform X1 [Frieseomelitta varia],561572,Frieseomelitta varia,Eukaryota
KOX68435,Rpp25,219,gb|KOX68435.1|,Ribonuclease P protein subunit p25-like protein [Melipona quadrifasciata],166423,Melipona quadrifasciata,Eukaryota
XP_043524786,Rpp25,215,ref|XP_043524786.1|,ribonuclease P protein subunit p25-like protein isoform X2 [Frieseomelitta varia],561572,Frieseomelitta varia,Eukaryota
KAF3421659,Rpp25,213,gb|KAF3421659.1|,hypothetical protein E2986_11486 [Frieseomelitta varia],561572,Frieseomelitta varia,Eukaryota
XP_043524787,Rpp25,208,ref|XP_043524787.1|,ribonuclease P protein subunit p25-like protein isoform X3 [Frieseomelitta varia],561572,Frieseomelitta varia,Eukaryota
XP_039662112,Rpp25,207,ref|XP_039662112.1|,"ribonuclease P protein subunit p25-like protein, partial [Perca fluviatilis]",8168,Perca fluviatilis,Eukaryota
XP_028436671,Rpp25,221,ref|XP_028436671.1|,ribonuclease P protein subunit p25-like protein [Perca flavescens],8167,Perca flavescens,Eukaryota
XP_039664214,Rpp25,218,ref|XP_039664214.1|,ribonuclease P protein subunit p25-like protein [Perca fluviatilis],8168,Perca fluviatilis,Eukaryota
XP_034736041,Rpp25,221,ref|XP_034736041.1|,ribonuclease P protein subunit p25-like protein [Etheostoma cragini],417921,Etheostoma cragini,Eukaryota
XP_028440330,Rpp25,218,ref|XP_028440330.1|,ribonuclease P protein subunit p25-like protein [Perca flavescens],8167,Perca flavescens,Eukaryota
XP_032380289,Rpp25,221,ref|XP_032380289.1|,ribonuclease P protein subunit p25-like protein [Etheostoma spectabile],54343,Etheostoma spectabile,Eukaryota
XP_031138935,Rpp25,213,ref|XP_031138935.2|,ribonuclease P protein subunit p25-like protein [Sander lucioperca],283035,Sander lucioperca,Eukaryota
XP_039747178,Rpp25,173,ref|XP_039747178.1|,ribonuclease P protein subunit p25-like protein [Pararge aegeria],116150,Pararge aegeria,Eukaryota
XP_039780012,Rpp25,271,ref|XP_039780012.1|,ribonuclease P protein subunit p25-like isoform X1 [Panicum virgatum],38727,Panicum virgatum,Eukaryota
XP_039831458,Rpp25,255,ref|XP_039831458.1|,ribonuclease P protein subunit p25-like [Panicum virgatum],38727,Panicum virgatum,Eukaryota
XP_039780013,Rpp25,261,ref|XP_039780013.1|,ribonuclease P protein subunit p25-like isoform X2 [Panicum virgatum],38727,Panicum virgatum,Eukaryota
XP_025791395,Rpp25,253,ref|XP_025791395.1|,ribonuclease P protein subunit p25-like protein [Panicum hallii],206008,Panicum hallii,Eukaryota
PUZ42864,Rpp25,253,gb|PUZ42864.1|,hypothetical protein GQ55_9G616000 [Panicum hallii var. hallii],1504633,Panicum hallii var. hallii,Eukaryota
RLN41022,Rpp25,252,gb|RLN41022.1|,hypothetical protein C2845_PM01G02970 [Panicum miliaceum],4540,Panicum miliaceum,Eukaryota
XP_039782692,Rpp25,318,ref|XP_039782692.1|,TATA-binding protein-associated factor 2N-like [Panicum virgatum],38727,Panicum virgatum,Eukaryota
XP_039830502,Rpp25,320,ref|XP_039830502.1|,protein argonaute 18-like [Panicum virgatum],38727,Panicum virgatum,Eukaryota
KAG2546085,Rpp25,311,gb|KAG2546085.1|,hypothetical protein PVAP13_9KG028313 [Panicum virgatum],38727,Panicum virgatum,Eukaryota
KAG2546086,Rpp25,311,gb|KAG2546086.1|,hypothetical protein PVAP13_9KG028313 [Panicum virgatum],38727,Panicum virgatum,Eukaryota
KAG2546084,Rpp25,310,gb|KAG2546084.1|,hypothetical protein PVAP13_9KG028313 [Panicum virgatum],38727,Panicum virgatum,Eukaryota
RLN38611,Rpp25,330,gb|RLN38611.1|,hypothetical protein C2845_PM01G29060 [Panicum miliaceum],4540,Panicum miliaceum,Eukaryota
XP_039782693,Rpp25,345,ref|XP_039782693.1|,glycine-rich cell wall structural protein 1.8-like [Panicum virgatum],38727,Panicum virgatum,Eukaryota
XP_039792386,Rpp25,381,ref|XP_039792386.1|,uncharacterized protein LOC120658211 [Panicum virgatum],38727,Panicum virgatum,Eukaryota
CAA2990991,Rpp25,129,emb|CAA2990991.1|,ribonuclease P subunit p25 [Olea europaea subsp. europaea],158383,Olea europaea subsp. europaea,Eukaryota
XP_039933335,Rpp25,227,ref|XP_039933335.1|,ribonuclease P protein subunit p25 isoform X1 [Hirundo rustica],43150,Hirundo rustica,Eukaryota
NXL81560,Rpp25,192,gb|NXL81560.1|,RPP25 protein [Leptocoma aspasia],2585812,Leptocoma aspasia,Eukaryota
NWS09217,Rpp25,191,gb|NWS09217.1|,RPP25 protein [Motacilla alba],45807,Motacilla alba,Eukaryota
NWU36989,Rpp25,191,gb|NWU36989.1|,RPP25 protein [Hylia prasina],208073,Hylia prasina,Eukaryota
NXO97514,Rpp25,191,gb|NXO97514.1|,RPP25 protein [Certhia brachydactyla],73330,Certhia brachydactyla,Eukaryota
NXM57327,Rpp25,189,gb|NXM57327.1|,RPP25 protein [Illadopsis cleaveri],201329,Illadopsis cleaveri,Eukaryota
XP_039588235,Rpp25,217,ref|XP_039588235.1|,ribonuclease P protein subunit p25 isoform X1 [Passer montanus],9160,Passer montanus,Eukaryota
XP_038003377,Rpp25,207,ref|XP_038003377.1|,ribonuclease P protein subunit p25 [Motacilla alba alba],1094192,Motacilla alba alba,Eukaryota
NXA72654,Rpp25,191,gb|NXA72654.1|,RPP25 protein [Thryothorus ludovicianus],74200,Thryothorus ludovicianus,Eukaryota
NXB55149,Rpp25,191,gb|NXB55149.1|,RPP25 protein [Struthidea cinerea],181839,Struthidea cinerea,Eukaryota
NWV43091,Rpp25,192,gb|NWV43091.1|,RPP25 protein [Grantiella picta],266360,Grantiella picta,Eukaryota
XP_010410600,Rpp25,207,ref|XP_010410600.2|,ribonuclease P protein subunit p25 [Corvus cornix cornix],932674,Corvus cornix cornix,Eukaryota
NWI72773,Rpp25,191,gb|NWI72773.1|,RPP25 protein [Dryoscopus gambensis],85069,Dryoscopus gambensis,Eukaryota
NXH33681,Rpp25,191,gb|NXH33681.1|,RPP25 protein [Myiagra hebetior],381031,Myiagra hebetior,Eukaryota
XP_039953114,Rpp25,278,ref|XP_039953114.1|,ribonuclease P protein subunit p25-like protein [Bactrocera tryoni],59916,Bactrocera tryoni,Eukaryota
XP_011209808,Rpp25,278,ref|XP_011209808.1|,ribonuclease P protein subunit p25-like protein [Bactrocera dorsalis],27457,Bactrocera dorsalis,Eukaryota
XP_039973042,Rpp25,218,ref|XP_039973042.1|,ribonuclease P protein subunit p25-like protein [Xiphias gladius],8245,Xiphias gladius,Eukaryota
XP_040018919,Rpp25,218,ref|XP_040018919.1|,ribonuclease P protein subunit p25a [Gasterosteus aculeatus aculeatus],481459,Gasterosteus aculeatus aculeatus,Eukaryota
XP_040020915,Rpp25,203,ref|XP_040020915.1|,ribonuclease P protein subunit p25-like protein [Gasterosteus aculeatus aculeatus],481459,Gasterosteus aculeatus aculeatus,Eukaryota
XP_040058609,Rpp25,286,ref|XP_040058609.1|,ribonuclease P protein subunit p25-like [Gasterosteus aculeatus aculeatus],481459,Gasterosteus aculeatus aculeatus,Eukaryota
XP_040191574,Rpp25,185,ref|XP_040191574.1|,ribonuclease P protein subunit p25-like protein [Rana temporaria],8407,Rana temporaria,Eukaryota
XP_018426976,Rpp25,185,ref|XP_018426976.1|,PREDICTED: ribonuclease P protein subunit p25-like protein [Nanorana parkeri],125878,Nanorana parkeri,Eukaryota
XP_019851215,Rpp25,159,ref|XP_019851215.1|,PREDICTED: uncharacterized protein LOC109581504 [Amphimedon queenslandica],400682,Amphimedon queenslandica,Eukaryota
TKR77118,Rpp25,214,gb|TKR77118.1|,hypothetical protein L596_018147 [Steinernema carpocapsae],34508,Steinernema carpocapsae,Eukaryota
TKS69815,Rpp25,272,gb|TKS69815.1|,Ribonuclease P protein subunit p25-like protein [Collichthys lucidus],240159,Collichthys lucidus,Eukaryota
XP_019119323,Rpp25,272,ref|XP_019119323.1|,uncharacterized protein LOC104926952 [Larimichthys crocea],215358,Larimichthys crocea,Eukaryota
KAG8001392,Rpp25,272,gb|KAG8001392.1|,Ribonuclease P protein subunit p25-like protein [Nibea albiflora],240163,Nibea albiflora,Eukaryota
TKS73597,Rpp25,228,gb|TKS73597.1|,Ribonuclease P protein subunit p25 [Collichthys lucidus],240159,Collichthys lucidus,Eukaryota
XP_010755626,Rpp25,228,ref|XP_010755626.2|,ribonuclease P protein subunit p25-like protein [Larimichthys crocea],215358,Larimichthys crocea,Eukaryota
KAG8012742,Rpp25,221,gb|KAG8012742.1|,Ribonuclease P protein subunit p25 [Nibea albiflora],240163,Nibea albiflora,Eukaryota
TKS82735,Rpp25,1150,gb|TKS82735.1|,Collagen alpha-6(VI) chain [Collichthys lucidus],240159,Collichthys lucidus,Eukaryota
XP_019873377,Rpp25,177,ref|XP_019873377.1|,PREDICTED: LOW QUALITY PROTEIN: ribonuclease P protein subunit p25-like protein [Aethina tumida],116153,Aethina tumida,Eukaryota
PHJ20053,Rpp25,273,gb|PHJ20053.1|,alba 1 [Cystoisospora suis],483139,Cystoisospora suis,Eukaryota
PHT84002,Rpp25,282,gb|PHT84002.1|,hypothetical protein T459_12445 [Capsicum annuum],4072,Capsicum annuum,Eukaryota
PHU16316,Rpp25,238,gb|PHU16316.1|,hypothetical protein BC332_17521 [Capsicum chinense],80379,Capsicum chinense,Eukaryota
PHU20054,Rpp25,272,gb|PHU20054.1|,hypothetical protein BC332_11205 [Capsicum chinense],80379,Capsicum chinense,Eukaryota
PHU21384,Rpp25,255,gb|PHU21384.1|,hypothetical protein BC332_06491 [Capsicum chinense],80379,Capsicum chinense,Eukaryota
PIA27184,Rpp25,219,gb|PIA27184.1|,hypothetical protein AQUCO_08200006v1 [Aquilegia coerulea],218851,Aquilegia coerulea,Eukaryota
PIA27185,Rpp25,255,gb|PIA27185.1|,hypothetical protein AQUCO_08200006v1 [Aquilegia coerulea],218851,Aquilegia coerulea,Eukaryota
PIA27186,Rpp25,253,gb|PIA27186.1|,hypothetical protein AQUCO_08200006v1 [Aquilegia coerulea],218851,Aquilegia coerulea,Eukaryota
PIA41174,Rpp25,257,gb|PIA41174.1|,hypothetical protein AQUCO_02300164v1 [Aquilegia coerulea],218851,Aquilegia coerulea,Eukaryota
KAF5186969,Rpp25,253,gb|KAF5186969.1|,Ribonuclease p protein subunit p25-like protein [Thalictrum thalictroides],46969,Thalictrum thalictroides,Eukaryota
PIA41173,Rpp25,253,gb|PIA41173.1|,hypothetical protein AQUCO_02300164v1 [Aquilegia coerulea],218851,Aquilegia coerulea,Eukaryota
PIA41172,Rpp25,251,gb|PIA41172.1|,hypothetical protein AQUCO_02300164v1 [Aquilegia coerulea],218851,Aquilegia coerulea,Eukaryota
PIA36184,Rpp25,305,gb|PIA36184.1|,hypothetical protein AQUCO_03400238v1 [Aquilegia coerulea],218851,Aquilegia coerulea,Eukaryota
PIA36185,Rpp25,314,gb|PIA36185.1|,hypothetical protein AQUCO_03400238v1 [Aquilegia coerulea],218851,Aquilegia coerulea,Eukaryota
PLY70883,Rpp25,326,gb|PLY70883.1|,hypothetical protein LSAT_9X12540 [Lactuca sativa],4236,Lactuca sativa,Eukaryota
PLY74609,Rpp25,151,gb|PLY74609.1|,hypothetical protein LSAT_7X24401 [Lactuca sativa],4236,Lactuca sativa,Eukaryota
PLY76646,Rpp25,154,gb|PLY76646.1|,hypothetical protein LSAT_4X73960 [Lactuca sativa],4236,Lactuca sativa,Eukaryota
PNF27869,Rpp25,93,gb|PNF27869.1|,hypothetical protein B7P43_G08292 [Cryptotermes secundus],105785,Cryptotermes secundus,Eukaryota
PNG99593,Rpp25,156,gb|PNG99593.1|,Ribonuclease P protein subunit p25-like protein [Tetrabaena socialis],47790,Tetrabaena socialis,Eukaryota
POI29880,Rpp25,268,gb|POI29880.1|,"hypothetical protein CIB84_006370, partial [Bambusicola thoracicus]",9083,Bambusicola thoracicus,Eukaryota
OXB63903,Rpp25,328,gb|OXB63903.1|,hypothetical protein ASZ78_009907 [Callipepla squamata],9009,Callipepla squamata,Eukaryota
POM80618,Rpp25,520,gb|POM80618.1|,Aspartyl protease family A01B [Phytophthora palmivora var. palmivora],611791,Phytophthora palmivora var. palmivora,Eukaryota
PON65317,Rpp25,279,gb|PON65317.1|,DNA/RNA-binding protein Alba-like [Trema orientale],63057,Trema orientale,Eukaryota
PON51967,Rpp25,279,gb|PON51967.1|,DNA/RNA-binding protein Alba-like [Parasponia andersonii],3476,Parasponia andersonii,Eukaryota
PON73431,Rpp25,251,gb|PON73431.1|,DNA/RNA-binding protein Alba-like [Parasponia andersonii],3476,Parasponia andersonii,Eukaryota
PON93950,Rpp25,257,gb|PON93950.1|,DNA/RNA-binding protein Alba-like [Trema orientale],63057,Trema orientale,Eukaryota
PON83538,Rpp25,843,gb|PON83538.1|,Splicing factor-like protein [Trema orientale],63057,Trema orientale,Eukaryota
PON47789,Rpp25,825,gb|PON47789.1|,Splicing factor-like protein [Parasponia andersonii],3476,Parasponia andersonii,Eukaryota
AQK74934,Rpp25,147,gb|AQK74934.1|,Alba DNA/RNA-binding protein [Zea mays],4577,Zea mays,Eukaryota
AQK82611,Rpp25,175,gb|AQK82611.1|,no vein-like [Zea mays],4577,Zea mays,Eukaryota
AQK82612,Rpp25,562,gb|AQK82612.1|,no vein-like [Zea mays],4577,Zea mays,Eukaryota
AQK82616,Rpp25,545,gb|AQK82616.1|,no vein-like [Zea mays],4577,Zea mays,Eukaryota
AQK82622,Rpp25,524,gb|AQK82622.1|,no vein-like [Zea mays],4577,Zea mays,Eukaryota
AQK85101,Rpp25,271,gb|AQK85101.1|,Putative ribosomal protein S4 (RPS4A) family protein [Zea mays],4577,Zea mays,Eukaryota
AQK92345,Rpp25,204,gb|AQK92345.1|,Putative thioredoxin superfamily protein [Zea mays],4577,Zea mays,Eukaryota
AQL09792,Rpp25,176,gb|AQL09792.1|,Alba DNA/RNA-binding protein [Zea mays],4577,Zea mays,Eukaryota
AQL09790,Rpp25,218,gb|AQL09790.1|,Alba DNA/RNA-binding protein [Zea mays],4577,Zea mays,Eukaryota
AQL09791,Rpp25,206,gb|AQL09791.1|,Alba DNA/RNA-binding protein [Zea mays],4577,Zea mays,Eukaryota
ELU16798,Rpp25,147,gb|ELU16798.1|,"hypothetical protein CAPTEDRAFT_38823, partial [Capitella teleta]",283909,Capitella teleta,Eukaryota
EMS52656,Rpp25,402,gb|EMS52656.1|,Alba-like protein C9orf23-like protein [Triticum urartu],4572,Triticum urartu,Eukaryota
EOA38317,Rpp25,244,gb|EOA38317.1|,hypothetical protein CARUB_v10009820mg [Capsella rubella],81985,Capsella rubella,Eukaryota
EOX93966,Rpp25,234,gb|EOX93966.1|,"Alba DNA/RNA-binding protein isoform 2, partial [Theobroma cacao]",3641,Theobroma cacao,Eukaryota
EOX93967,Rpp25,245,gb|EOX93967.1|,"Alba DNA/RNA-binding protein isoform 3, partial [Theobroma cacao]",3641,Theobroma cacao,Eukaryota
EOX93965,Rpp25,242,gb|EOX93965.1|,Alba DNA/RNA-binding protein isoform 1 [Theobroma cacao],3641,Theobroma cacao,Eukaryota
KAB2003692,Rpp25,239,gb|KAB2003692.1|,hypothetical protein ES319_D11G149000v1 [Gossypium barbadense],3634,Gossypium barbadense,Eukaryota
TYG45221,Rpp25,239,gb|TYG45221.1|,hypothetical protein ES288_D11G157100v1 [Gossypium darwinii],34276,Gossypium darwinii,Eukaryota
TYI55601,Rpp25,239,gb|TYI55601.1|,hypothetical protein E1A91_D11G152900v1 [Gossypium mustelinum],34275,Gossypium mustelinum,Eukaryota
XP_016696320,Rpp25,239,ref|XP_016696320.1|,ribonuclease P protein subunit p25-like protein [Gossypium hirsutum],3635,Gossypium hirsutum,Eukaryota
KAB2057081,Rpp25,239,gb|KAB2057081.1|,hypothetical protein ES319_A11G146500v1 [Gossypium barbadense],3634,Gossypium barbadense,Eukaryota
MBA0730357,Rpp25,239,gb|MBA0730357.1|,hypothetical protein [Gossypium laxum],34288,Gossypium laxum,Eukaryota
TYI00755,Rpp25,239,gb|TYI00755.1|,hypothetical protein ES332_A11G155800v1 [Gossypium tomentosum],34277,Gossypium tomentosum,Eukaryota
XP_012490804,Rpp25,239,ref|XP_012490804.1|,PREDICTED: ribonuclease P protein subunit p25-like protein [Gossypium raimondii],29730,Gossypium raimondii,Eukaryota
XP_016710398,Rpp25,239,ref|XP_016710398.1|,ribonuclease P protein subunit p25-like protein [Gossypium hirsutum],3635,Gossypium hirsutum,Eukaryota
XP_017649825,Rpp25,239,ref|XP_017649825.1|,PREDICTED: ribonuclease P protein subunit p25-like protein [Gossypium arboreum],29729,Gossypium arboreum,Eukaryota
OMO50451,Rpp25,237,gb|OMO50451.1|,DNA/RNA-binding protein Alba-like protein [Corchorus capsularis],210143,Corchorus capsularis,Eukaryota
XP_007049810,Rpp25,236,ref|XP_007049810.2|,PREDICTED: ribonuclease P protein subunit p25-like protein [Theobroma cacao],3641,Theobroma cacao,Eukaryota
XP_021274215,Rpp25,236,ref|XP_021274215.1|,ribonuclease P protein subunit p25-like protein [Herrania umbratica],108875,Herrania umbratica,Eukaryota
XP_022727993,Rpp25,236,ref|XP_022727993.1|,ribonuclease P protein subunit p25-like protein [Durio zibethinus],66656,Durio zibethinus,Eukaryota
XP_022769887,Rpp25,230,ref|XP_022769887.1|,ribonuclease P protein subunit p25-like protein [Durio zibethinus],66656,Durio zibethinus,Eukaryota
EOX93968,Rpp25,304,gb|EOX93968.1|,"Alba DNA/RNA-binding protein isoform 4, partial [Theobroma cacao]",3641,Theobroma cacao,Eukaryota
EOX93969,Rpp25,311,gb|EOX93969.1|,"Alba DNA/RNA-binding protein isoform 5, partial [Theobroma cacao]",3641,Theobroma cacao,Eukaryota
EOX93970,Rpp25,186,gb|EOX93970.1|,"Alba DNA/RNA-binding protein isoform 6, partial [Theobroma cacao]",3641,Theobroma cacao,Eukaryota
EOX97410,Rpp25,237,gb|EOX97410.1|,Alba DNA/RNA-binding protein isoform 2 [Theobroma cacao],3641,Theobroma cacao,Eukaryota
XP_007041579,Rpp25,241,ref|XP_007041579.2|,PREDICTED: ribonuclease P protein subunit p25-like protein isoform X2 [Theobroma cacao],3641,Theobroma cacao,Eukaryota
EOX97409,Rpp25,257,gb|EOX97409.1|,Alba DNA/RNA-binding protein isoform 1 [Theobroma cacao],3641,Theobroma cacao,Eukaryota
XP_007041578,Rpp25,261,ref|XP_007041578.2|,PREDICTED: H/ACA ribonucleoprotein complex subunit 1 isoform X1 [Theobroma cacao],3641,Theobroma cacao,Eukaryota
KAB2036058,Rpp25,241,gb|KAB2036058.1|,hypothetical protein ES319_D04G197100v1 [Gossypium barbadense],3634,Gossypium barbadense,Eukaryota
MBA0873027,Rpp25,241,gb|MBA0873027.1|,hypothetical protein [Gossypium schwendimanii],34291,Gossypium schwendimanii,Eukaryota
TYH78202,Rpp25,241,gb|TYH78202.1|,hypothetical protein ES332_D04G209200v1 [Gossypium tomentosum],34277,Gossypium tomentosum,Eukaryota
TYI88279,Rpp25,241,gb|TYI88279.1|,hypothetical protein E1A91_D04G197500v1 [Gossypium mustelinum],34275,Gossypium mustelinum,Eukaryota
XP_012458130,Rpp25,241,ref|XP_012458130.1|,PREDICTED: ribonuclease P protein subunit p25-like protein [Gossypium raimondii],29730,Gossypium raimondii,Eukaryota
XP_016679499,Rpp25,241,ref|XP_016679499.2|,ribonuclease P protein subunit p25-like protein [Gossypium hirsutum],3635,Gossypium hirsutum,Eukaryota
KHG29322,Rpp25,240,gb|KHG29322.1|,Alba-like protein C9orf23 [Gossypium arboreum],29729,Gossypium arboreum,Eukaryota
KAA3465447,Rpp25,239,gb|KAA3465447.1|,ribonuclease P protein subunit p25-like protein isoform X3 [Gossypium australe],47621,Gossypium australe,Eukaryota
TYJ40747,Rpp25,239,gb|TYJ40747.1|,hypothetical protein E1A91_A04G162600v1 [Gossypium mustelinum],34275,Gossypium mustelinum,Eukaryota
KAA3463312,Rpp25,241,gb|KAA3463312.1|,ribonuclease P protein subunit p25-like protein [Gossypium australe],47621,Gossypium australe,Eukaryota
KAB2088139,Rpp25,241,gb|KAB2088139.1|,hypothetical protein ES319_A04G154400v1 [Gossypium barbadense],3634,Gossypium barbadense,Eukaryota
MBA0726942,Rpp25,241,gb|MBA0726942.1|,hypothetical protein [Gossypium laxum],34288,Gossypium laxum,Eukaryota
TYI33946,Rpp25,241,gb|TYI33946.1|,hypothetical protein ES332_A04G169400v1 [Gossypium tomentosum],34277,Gossypium tomentosum,Eukaryota
XP_016723178,Rpp25,241,ref|XP_016723178.2|,ribonuclease P protein subunit p25-like protein isoform X2 [Gossypium hirsutum],3635,Gossypium hirsutum,Eukaryota
XP_017616115,Rpp25,241,ref|XP_017616115.1|,PREDICTED: ribonuclease P protein subunit p25-like protein [Gossypium arboreum],29729,Gossypium arboreum,Eukaryota
XP_021286543,Rpp25,237,ref|XP_021286543.1|,ribonuclease P protein subunit p25-like protein [Herrania umbratica],108875,Herrania umbratica,Eukaryota
XP_022762915,Rpp25,237,ref|XP_022762915.1|,ribonuclease P protein subunit p25-like protein isoform X2 [Durio zibethinus],66656,Durio zibethinus,Eukaryota
XP_022762913,Rpp25,239,ref|XP_022762913.1|,ribonuclease P protein subunit p25-like protein isoform X1 [Durio zibethinus],66656,Durio zibethinus,Eukaryota
XP_022748569,Rpp25,236,ref|XP_022748569.1|,ribonuclease P protein subunit p25-like protein [Durio zibethinus],66656,Durio zibethinus,Eukaryota
XP_022725988,Rpp25,229,ref|XP_022725988.1|,ribonuclease P protein subunit p25-like protein [Durio zibethinus],66656,Durio zibethinus,Eukaryota
OMO92076,Rpp25,222,gb|OMO92076.1|,DNA/RNA-binding protein Alba-like protein [Corchorus olitorius],93759,Corchorus olitorius,Eukaryota
OMO79959,Rpp25,244,gb|OMO79959.1|,DNA/RNA-binding protein Alba-like protein [Corchorus capsularis],210143,Corchorus capsularis,Eukaryota
EOY05357,Rpp25,336,gb|EOY05357.1|,Alba DNA/RNA-binding-like protein [Theobroma cacao],3641,Theobroma cacao,Eukaryota
CAE7251502,Rpp25,1223,emb|CAE7251502.1|,Rpp25l [Symbiodinium natans],878477,Symbiodinium natans,Eukaryota
CAE7447033,Rpp25,331,emb|CAE7447033.1|,Rpp25l [Symbiodinium pilosum],2952,Symbiodinium pilosum,Eukaryota
CAE7452200,Rpp25,330,emb|CAE7452200.1|,Rpp25l [Symbiodinium sp. CCMP2456],1519616,Symbiodinium sp. CCMP2456,Eukaryota
CAE7315276,Rpp25,330,emb|CAE7315276.1|,Rpp25l [Symbiodinium sp. CCMP2592],631055,Symbiodinium sp. CCMP2592,Eukaryota
XP_019891179,Rpp25,262,ref|XP_019891179.1|,PREDICTED: ribonuclease P protein subunit p25-like protein [Musca domestica],7370,Musca domestica,Eukaryota
NWH71482,Rpp25,196,gb|NWH71482.1|,RPP25 protein [Piaya cayana],33601,Piaya cayana,Eukaryota
NXY51188,Rpp25,196,gb|NXY51188.1|,RPP25 protein [Ceuthmochares aereus],1961834,Ceuthmochares aereus,Eukaryota
NWH85739,Rpp25,192,gb|NWH85739.1|,RPP25 protein [Aegithalos caudatus],73327,Aegithalos caudatus,Eukaryota
OAE28625,Rpp25,360,gb|OAE28625.1|,hypothetical protein AXG93_1335s1170 [Marchantia polymorpha subsp. ruderalis],1480154,Marchantia polymorpha subsp. ruderalis,Eukaryota
OAP01223,Rpp25,199,gb|OAP01223.1|,hypothetical protein AXX17_AT3G06940 [Arabidopsis thaliana],3702,Arabidopsis thaliana,Eukaryota
CAE7526771,Rpp25,517,emb|CAE7526771.1|,Rpp25l [Symbiodinium pilosum],2952,Symbiodinium pilosum,Eukaryota
OAY64906,Rpp25,305,gb|OAY64906.1|,Ribonuclease P protein subunit p25-like protein [Ananas comosus],4615,Ananas comosus,Eukaryota
OAY77267,Rpp25,161,gb|OAY77267.1|,Ribonuclease P protein subunit p25-like protein [Ananas comosus],4615,Ananas comosus,Eukaryota
OAY77686,Rpp25,280,gb|OAY77686.1|,Ribonuclease P protein subunit p25-like protein [Ananas comosus],4615,Ananas comosus,Eukaryota
OAY80838,Rpp25,298,gb|OAY80838.1|,Ribonuclease P protein subunit p25-like protein [Ananas comosus],4615,Ananas comosus,Eukaryota
OBS67582,Rpp25,197,gb|OBS67582.1|,hypothetical protein A6R68_03845 [Neotoma lepida],56216,Neotoma lepida,Eukaryota
